Crime_ID,City,Date,Time,Crime_Type,Location,Latitude,Longitude,Crime_Severity,Police_Response_Time_Minutes,Resolved,Suspect_Arrested,Ride_Time
2,Mumbai,2024-04-08,02:39,Burglary,Saket,22.36134105,73.30054627,8,54,1,0,14:35
6,Mumbai,2023-04-17,13:40,Burglary,Connaught Place,20.25986155,72.09388391,4,41,1,1,11:22
10,Mumbai,2023-12-14,17:00,Theft,Juhu,26.81230833,76.88877704,4,47,1,1,07:43
15,Mumbai,2024-01-24,23:31,Fraud,Lajpat Nagar,20.18198538,73.73297658,,11,1,1,18:43
17,Mumbai,2024-02-18,22:10,Fraud,Juhu,27.09289785,75.14384522,4,24,1,1,14:44
18,Mumbai,2024-11-20,21:24,Assault,Connaught Place,21.32888456,72.80924908,5,18,0,1,16:55
19,Mumbai,2024-10-07,08:25,Fraud,Juhu,20.59814611,72.15589376,10,27,1,1,16:34
21,Mumbai,2023-05-03,18:05,Harassment,Juhu,29.73677645,75.76112173,1,2,1,0,05:41
23,Mumbai,2024-08-21,17:22,Assault,Saket,24.0173993,73.13817819,10,11,1,1,23:08
24,Mumbai,2024-03-12,02:13,Fraud,Andheri,19.33022248,74.02712331,5,27,0,1,03:48
25,Mumbai,2024-04-22,23:33,Burglary,Connaught Place,23.36950283,72.46722039,3,56,1,1,01:47
26,Mumbai,2024-12-22,11:19,Assault,Saket,25.28452017,73.15019563,3,49,1,1,01:29
27,Mumbai,2023-10-21,09:48,Theft,Dwarka,29.48437074,77.46761873,4,48,1,0,04:43
28,Mumbai,2023-09-24,10:28,Harassment,Dwarka,24.68409649,72.11579479,,47,1,1,21:00
29,Mumbai,2023-03-15,21:29,Theft,Bandra,28.01018059,75.92059155,5,23,1,0,08:01
30,Mumbai,2024-05-21,00:09,Harassment,Connaught Place,25.01840407,74.30645359,1,35,1,1,19:19
33,Mumbai,2023-06-13,11:36,Assault,Saket,25.33104459,73.34099253,6,47,1,0,05:18
34,Mumbai,2024-02-07,13:26,Theft,Juhu,29.45653363,77.08325693,7,24,1,1,12:06
35,Mumbai,2024-04-21,00:48,Harassment,Dwarka,28.45043396,74.9516423,5,19,0,1,22:28
37,Mumbai,2024-03-09,23:31,Burglary,Bandra,21.42120813,74.43607522,2,13,1,1,15:34
