Hotspot_ID,Center_Latitude,Center_Longitude,Crime_Count,Average_Crime_Severity,Maximum_Crime_Severity,Crime_Types,Crime_Score,Risk_Level
0,26.800964505,76.885633405,2,4.0,4.0,Theft,33.33,Low
1,19.33229702,74.02726593,2,5.0,5.0,"Burglary, Fraud",44.44,Moderate
2,24.67859728,72.09983976999999,2,4.0,5.0,Harassment,37.5,Low
3,25.025861755,74.310792925,2,4.0,7.0,"Assault, Harassment",45.83,Moderate
4,25.326678595,73.32274677,2,7.0,8.0,"Assault, Burglary",70.83,High
5,19.793098165,74.33350418500001,2,7.5,10.0,"Assault, Harassment",82.64,Extreme
6,19.93046978,77.861164145,2,3.5,6.0,Harassment,38.19,Low
7,29.32319576,76.13515133333334,3,6.666666666666667,9.0,"Assault, Harassment, Theft",73.81,High
8,23.13752701,77.34749926666666,3,5.0,8.0,Fraud,58.07,Moderate
9,24.948445104999998,73.10939156,2,2.5,4.0,Theft,22.92,Low
10,28.491767775,72.21200065,2,4.5,7.0,"Assault, Burglary",49.31,Moderate
11,28.808789656666665,75.99338522,3,6.333333333333333,10.0,"Burglary, Harassment",75.66,High
12,28.84681996,74.14586239666666,3,6.333333333333333,9.0,"Assault, Burglary, Fraud",71.5,High
13,25.611877055,72.692322895,2,6.0,10.0,Burglary,72.22,High
14,29.468677235,73.68397841,2,7.5,8.0,"Assault, Fraud",74.31,High
15,25.062409716666668,73.83083610666667,3,2.0,3.0,"Assault, Harassment, Theft",16.4,Safe
16,20.498827475,74.450795795,2,4.0,5.0,Harassment,37.5,Low
17,28.02598776,74.85461914,2,8.5,10.0,"Assault, Burglary",89.58,Extreme
18,28.402530995,73.86967738499999,2,4.0,4.0,"Burglary, Harassment",33.33,Low
19,29.49498585,73.76904727,2,5.5,9.0,"Fraud, Theft",64.58,High
20,27.716448489999998,77.57284474,2,3.5,5.0,Assault,34.03,Low
21,23.224786934999997,72.00683702,2,4.5,5.0,"Assault, Burglary",40.97,Moderate
22,24.369169075000002,72.24108404500001,2,5.5,9.0,Fraud,64.58,High
23,20.873192435,77.694131665,2,4.5,8.0,"Fraud, Harassment",53.47,Moderate
24,20.437023335,72.49539153500001,2,4.5,7.0,"Harassment, Theft",49.31,Moderate
25,24.4370597,75.9177586,2,4.5,5.0,Fraud,40.97,Moderate
26,24.52761547,73.07793004666667,3,7.666666666666667,9.0,"Assault, Fraud",80.76,Extreme
27,27.24908526,74.84770405,2,4.5,5.0,"Burglary, Fraud",40.97,Moderate
28,21.772430364999998,72.879511415,2,2.5,3.0,"Assault, Burglary",18.75,Safe
29,20.104513734999998,76.299633655,2,3.5,6.0,"Assault, Harassment",38.19,Low
30,27.92052588,72.923841035,2,7.0,8.0,"Burglary, Harassment",70.83,High
31,27.411872289999998,72.79221113,2,1.5,2.0,"Assault, Fraud",7.64,Safe
32,23.86352369,72.70007900499999,2,7.5,8.0,"Assault, Fraud",74.31,High
33,23.25581693,73.86227725500001,2,8.5,10.0,Burglary,89.58,Extreme
34,29.72999665,77.95778995,3,6.666666666666667,7.0,"Assault, Harassment, Theft",65.48,High
35,25.38537601,76.676518415,2,5.0,6.0,"Assault, Theft",48.61,Moderate
36,28.632416755,73.82906741,2,5.5,10.0,Burglary,68.75,High
37,25.352484529999998,73.78744485499999,2,8.0,8.0,"Assault, Theft",77.78,High
38,24.37683926,76.64284325,2,5.5,6.0,Assault,52.08,Moderate
39,25.15876947,72.40275592,2,4.0,6.0,"Fraud, Theft",41.67,Moderate
40,24.802079745,77.80479314,2,4.5,5.0,"Assault, Harassment",40.97,Moderate
41,21.080198505,77.38670895999999,2,6.0,8.0,"Assault, Harassment",63.89,High
42,22.263804605,77.519894495,2,5.5,9.0,Harassment,64.58,High
43,26.882690466666663,74.05061961,3,4.666666666666667,8.0,"Assault, Burglary, Fraud",55.76,Moderate
44,23.15636453,77.00035168,3,3.0,6.0,"Fraud, Harassment",35.85,Low
45,22.502798565,77.73334649,2,5.0,8.0,"Assault, Burglary",56.94,Moderate
46,21.098282509999997,77.827205205,2,6.5,7.0,"Assault, Harassment",63.19,High
47,26.290677915,76.422723735,2,7.5,10.0,"Assault, Harassment",82.64,Extreme
48,29.49226331,74.04600578,2,6.5,7.0,"Assault, Theft",63.19,High
49,22.955670915,73.30025890499999,2,4.5,8.0,"Harassment, Theft",53.47,Moderate
50,28.71993941,72.54551507666666,3,5.0,9.0,"Assault, Fraud, Harassment",62.24,High
51,23.707610343333332,74.66097053333334,3,5.0,8.0,"Burglary, Harassment",58.07,Moderate
52,19.86326976,75.12702186499999,2,2.0,3.0,"Fraud, Theft",15.28,Safe
53,25.98410115,75.67785868,2,7.0,9.0,Fraud,75.0,High
54,21.05642531333333,73.97050861666666,3,5.0,7.0,"Burglary, Theft",53.9,Moderate
55,22.808445194999997,75.590091875,2,3.5,5.0,"Burglary, Theft",34.03,Low
56,29.492364025,75.91927448999999,2,3.5,6.0,"Burglary, Harassment",38.19,Low
57,24.540667705,75.18842917500001,2,3.0,5.0,"Fraud, Harassment",30.56,Low
58,26.664965885,75.980249455,2,3.0,4.0,"Assault, Theft",26.39,Low
59,28.067877236666664,74.46608525,3,5.666666666666667,9.0,"Harassment, Theft",66.87,High
60,27.159969765,75.11270746,2,2.5,4.0,"Assault, Harassment",22.92,Low
61,25.01271247,72.270537755,2,9.0,9.0,"Burglary, Fraud",88.89,Extreme
62,27.121315346666666,76.91109037333332,3,4.666666666666667,7.0,"Burglary, Theft",51.59,Moderate
63,22.789984025000003,77.939816885,2,7.0,8.0,Assault,70.83,High
64,23.38009339,77.95285493,2,4.0,6.0,"Burglary, Theft",41.67,Moderate
65,27.51757341,73.531894795,2,6.5,7.0,"Assault, Harassment",63.19,High
66,19.790974795,74.06786595,2,3.5,6.0,"Assault, Burglary",38.19,Low
67,27.158752225,77.333333725,2,3.5,4.0,Harassment,29.86,Low
68,19.246036150000002,75.819610445,2,5.5,6.0,"Fraud, Theft",52.08,Moderate
