Crime_ID,City,Date,Time,Crime_Type,Location,Latitude,Longitude,Crime_Severity,Police_Response_Time_Minutes,Resolved,Suspect_Arrested,Ride_Time,Cluster
2,Mumbai,2024-04-08,02:39,Burglary,Saket,22.36134105,73.30054627,8.0,54,1,0,14:35,-1
6,Mumbai,2023-04-17,13:40,Burglary,Connaught Place,20.25986155,72.09388391,4.0,41,1,1,11:22,-1
10,Mumbai,2023-12-14,17:00,Theft,Juhu,26.81230833,76.88877704,4.0,47,1,1,07:43,0
15,Mumbai,2024-01-24,23:31,Fraud,Lajpat Nagar,20.18198538,73.73297658,6.0,11,1,1,18:43,-1
17,Mumbai,2024-02-18,22:10,Fraud,Juhu,27.09289785,75.14384522,4.0,24,1,1,14:44,-1
18,Mumbai,2024-11-20,21:24,Assault,Connaught Place,21.32888456,72.80924908,5.0,18,0,1,16:55,-1
19,Mumbai,2024-10-07,08:25,Fraud,Juhu,20.59814611,72.15589376,10.0,27,1,1,16:34,-1
21,Mumbai,2023-05-03,18:05,Harassment,Juhu,29.73677645,75.76112173,1.0,2,1,0,05:41,-1
23,Mumbai,2024-08-21,17:22,Assault,Saket,24.0173993,73.13817819,10.0,11,1,1,23:08,-1
24,Mumbai,2024-03-12,02:13,Fraud,Andheri,19.33022248,74.02712331,5.0,27,0,1,03:48,1
25,Mumbai,2024-04-22,23:33,Burglary,Connaught Place,23.36950283,72.46722039,3.0,56,1,1,01:47,-1
26,Mumbai,2024-12-22,11:19,Assault,Saket,25.28452017,73.15019563,3.0,49,1,1,01:29,-1
27,Mumbai,2023-10-21,09:48,Theft,Dwarka,29.48437074,77.46761873,4.0,48,1,0,04:43,-1
28,Mumbai,2023-09-24,10:28,Harassment,Dwarka,24.68409649,72.11579479,5.0,47,1,1,21:00,2
29,Mumbai,2023-03-15,21:29,Theft,Bandra,28.01018059,75.92059155,5.0,23,1,0,08:01,-1
30,Mumbai,2024-05-21,00:09,Harassment,Connaught Place,25.01840407,74.30645359,1.0,35,1,1,19:19,3
33,Mumbai,2023-06-13,11:36,Assault,Saket,25.33104459,73.34099253,6.0,47,1,0,05:18,4
34,Mumbai,2024-02-07,13:26,Theft,Juhu,29.45653363,77.08325693,7.0,24,1,1,12:06,-1
35,Mumbai,2024-04-21,00:48,Harassment,Dwarka,28.45043396,74.9516423,5.0,19,0,1,22:28,-1
37,Mumbai,2024-03-09,23:31,Burglary,Bandra,21.42120813,74.43607522,2.0,13,1,1,15:34,-1
43,Mumbai,2023-02-05,06:07,Fraud,Juhu,24.54818775,76.53272286,10.0,41,1,1,15:05,-1
44,Mumbai,2023-11-14,18:18,Burglary,Dadar,24.10764919,77.28174758,7.0,29,1,1,16:26,-1
45,Mumbai,2023-07-13,05:55,Theft,Karol Bagh,21.78737918,77.78487478,6.0,6,1,0,08:17,-1
46,Mumbai,2024-09-09,05:49,Theft,Dwarka,24.55530851,73.94731144,7.0,51,1,1,04:27,-1
47,Mumbai,2023-11-24,23:25,Burglary,Lajpat Nagar,19.33546203,76.79222744,5.0,23,1,0,04:49,-1
49,Mumbai,2024-11-11,11:48,Assault,Lajpat Nagar,28.75248556,75.27344608,6.0,45,1,1,15:03,-1
50,Mumbai,2023-05-14,06:26,Theft,Connaught Place,27.26847744,73.07908889,4.0,21,0,1,22:16,-1
52,Mumbai,2024-09-25,10:49,Burglary,Juhu,24.68865399,77.5881502,2.0,8,1,1,13:30,-1
54,Mumbai,2024-11-17,03:42,Harassment,Andheri,27.14857854,75.79440537,4.0,9,1,1,00:07,-1
56,Mumbai,2023-09-25,20:20,Burglary,Karol Bagh,27.39613709,72.72443012,7.0,4,1,1,14:49,-1
57,Mumbai,2023-10-11,16:34,Fraud,Connaught Place,26.94872897,73.95587426,7.0,13,0,1,00:14,-1
66,Mumbai,2024-04-18,10:48,Assault,Karol Bagh,29.77905876,73.68960366,3.0,46,1,1,12:42,-1
67,Mumbai,2023-12-10,14:41,Assault,Andheri,21.48469554,72.11927945,10.0,57,1,0,13:49,-1
69,Mumbai,2024-08-17,03:24,Burglary,Connaught Place,23.76270355,77.73960341,10.0,15,1,1,19:55,-1
70,Mumbai,2024-02-08,18:41,Assault,Lajpat Nagar,19.78127024,74.34766113,5.0,8,1,0,15:42,5
71,Mumbai,2023-02-11,13:26,Assault,Connaught Place,24.36664267,74.52080733,4.0,48,1,0,08:38,-1
72,Mumbai,2023-10-18,13:12,Assault,Colaba,26.72380762,77.8134103,6.0,35,1,1,21:03,-1
74,Mumbai,2023-02-23,19:14,Burglary,Dadar,28.5931667,76.31503154,4.0,52,1,1,01:16,-1
